Result,Group
41.86435464462128,original_results
41.53983788181874,original_results
42.09540948742813,original_results
42.552499786058284,original_results
40.83727655581478,original_results
42.116031352273986,original_results
35.38511562464225,original_results
44.50756755633044,original_results
42.372632976413534,original_results
42.120126610335745,original_results
47.42935435073395,original_results
42.72941328024757,original_results
41.99524481121184,original_results
36.35714919099519,original_results
38.37378603442491,original_results
43.66828855895958,original_results
44.16405234609016,original_results
44.847574031654865,original_results
47.09388485893643,original_results
46.004529987858085,original_results
40.397274165398265,original_results
40.387407137912895,original_results
44.28918337535745,original_results
43.79451865030235,original_results
42.34854586192643,original_results
43.48006639540711,original_results
41.430517523497905,original_results
50.71700739224134,original_results
42.100626286793265,original_results
42.149766894760745,original_results
44.59516348084703,original_results
45.17632491322621,original_results
43.71390006099451,original_results
39.949654905220655,original_results
44.40558770541133,original_results
43.40870726284164,original_results
41.309941719393485,original_results
42.60503126718975,original_results
41.39091237970834,original_results
42.11390574412612,original_results
43.13286409531347,original_results
45.40315771736047,original_results
43.079771144286475,original_results
43.55552708063476,original_results
42.98888207048241,original_results
43.71557275887403,original_results
41.81231316941626,original_results
34.78524339666968,original_results
44.073655624875585,original_results
45.87566088788874,original_results
48.61444411470086,original_results
42.00158294253516,original_results
40.029889550363684,original_results
42.81794686557165,original_results
42.681829354252,original_results
42.14234410089829,original_results
49.7540648652509,original_results
42.3699766567677,original_results
41.42527458775695,original_results
40.16923613275888,original_results
42.775993025863805,original_results
41.68075479197132,original_results
42.37757673002911,original_results
39.29288884335726,original_results
44.789935697390135,original_results
43.9388803014985,original_results
47.34321194074891,original_results
42.74799155717213,original_results
47.18397779845341,original_results
42.87622547561963,original_results
43.894401878732985,original_results
41.604042042439495,original_results
50.17390956573841,original_results
37.0221893148221,original_results
39.505234844154785,original_results
44.166990868627614,original_results
43.4901218473855,original_results
37.76457626316145,original_results
44.67483706805042,original_results
44.555705694978975,original_results
45.118146752283536,original_results
47.981557525278745,original_results
42.40796422509242,original_results
45.7963112813918,original_results
37.44895965623173,original_results
44.96202213134398,original_results
40.618062717985964,original_results
41.5167756231895,original_results
44.35923040342303,original_results
40.97002805609368,original_results
42.50614727493479,original_results
43.08034389619995,original_results
43.9046914124382,original_results
39.39708317626193,original_results
44.19414698966867,original_results
42.95518051901924,original_results
42.705647175923765,original_results
44.69016901186707,original_results
41.18899939467785,original_results
42.51250293174336,original_results
42.803016900241445,original_results
41.9890082207352,original_results
42.43446777796514,original_results
42.32671614389373,original_results
48.63946016999881,original_results
43.484950906372944,original_results
43.26213956475702,original_results
44.86091723233024,original_results
40.279462776898065,original_results
40.842307322741654,original_results
41.482508069350516,original_results
41.908879888043366,original_results
42.19985941938744,original_results
39.74384563229552,original_results
39.952802396602436,original_results
50.017143046894,original_results
40.29431856085618,original_results
42.085007577940985,original_results
45.18888733049162,original_results
44.84583706429694,original_results
42.87778294014456,original_results
42.83707425451667,original_results
45.22847461694917,original_results
44.714682931684514,original_results
42.466121884354145,original_results
38.40390962250704,original_results
34.78312299992506,original_results
46.39797124549267,original_results
41.15940713986716,original_results
49.04074213739275,original_results
40.28900929579222,original_results
